video	label	id	t_start	t_end	frames
1CM42_11_R_#205	B0A	2	988	1214	227
1CM42_11_R_#205	D0X	1	1215	1607	393
1CM42_11_R_#205	G08	11	1608	1654	47
1CM42_11_R_#205	B0A	2	1655	2000	346
1CM42_11_R_#205	D0X	1	2001	2209	209
1CM42_11_R_#205	G09	12	2210	2270	61
1CM42_11_R_#205	B0A	2	2271	2545	275
1CM42_11_R_#205	G06	9	2546	2612	67
1CM42_11_R_#205	B0A	2	2613	2844	232
1CM42_11_R_#205	G02	5	2845	2880	36
1CM42_11_R_#205	B0A	2	2881	3097	217
1CM42_11_R_#205	G03	6	3098	3144	47
1CM42_11_R_#205	B0B	3	3145	3327	183
1CM42_11_R_#205	D0X	1	3328	3471	144
1CM42_11_R_#205	G10	13	3472	3532	61
1CM42_11_R_#205	B0B	3	3533	3657	125
1CM42_11_R_#205	G05	8	3658	3686	29
1CM42_11_R_#206	D0X	1	1	45	45
1CM42_11_R_#206	G03	6	46	140	95
1CM42_11_R_#206	B0B	3	141	506	366
1CM42_11_R_#206	G02	5	507	580	74
1CM42_11_R_#206	B0A	2	581	817	237
1CM42_11_R_#206	G06	9	818	911	94
1CM42_11_R_#206	B0A	2	912	1135	224
1CM42_11_R_#206	G05	8	1136	1224	89
1CM42_11_R_#206	B0A	2	1225	1409	185
1CM42_11_R_#206	D0X	1	1410	1800	391
1CM42_11_R_#206	G07	10	1801	1898	98
1CM42_11_R_#206	B0B	3	1899	2129	231
1CM42_11_R_#206	G04	7	2130	2214	85
1CM42_11_R_#206	B0B	3	2215	2495	281
1CM42_11_R_#206	G08	11	2496	2580	85
1CM42_11_R_#206	B0A	2	2581	2848	268
1CM42_11_R_#206	D0X	1	2849	3235	387
1CM42_11_R_#206	G01	4	3236	3268	33
1CM42_11_R_#206	B0A	2	3269	3602	334
1CM42_11_R_#206	D0X	1	3603	3859	257
1CM42_11_R_#206	G10	13	3860	3957	98
1CM42_11_R_#206	B0B	3	3958	4169	212
1CM42_11_R_#206	G11	14	4170	4273	104
1CM42_11_R_#206	B0B	3	4274	4586	313
1CM42_11_R_#206	G09	12	4587	4653	67
1CM42_11_R_#206	D0X	1	4654	4682	29
1CM42_11_R_#207	D0X	1	1	36	36
1CM42_11_R_#207	G05	8	37	108	72
1CM42_11_R_#207	B0B	3	109	322	214
1CM42_11_R_#207	G02	5	323	367	45
1CM42_11_R_#207	B0A	2	368	605	238
1CM42_11_R_#207	G10	13	606	656	51
1CM42_11_R_#207	B0B	3	657	973	317
1CM42_11_R_#207	G08	11	974	1018	45
1CM42_11_R_#207	B0B	3	1019	1288	270
1CM42_11_R_#207	D0X	1	1289	1539	251
1CM42_11_R_#207	G01	4	1540	1557	18
1CM42_11_R_#207	B0A	2	1558	1864	307
1CM42_11_R_#207	D0X	1	1865	2091	227
1CM42_11_R_#207	G06	9	2092	2134	43
1CM42_11_R_#207	B0A	2	2135	2354	220
1CM42_11_R_#207	G03	6	2355	2420	66
1CM42_11_R_#207	B0A	2	2421	2612	192
1CM42_11_R_#207	D0X	1	2613	2784	172
1CM42_11_R_#207	G07	10	2785	2856	72
1CM42_11_R_#207	B0B	3	2857	3113	257
1CM42_11_R_#207	G04	7	3114	3170	57
1CM42_11_R_#207	B0B	3	3171	3402	232
1CM42_11_R_#207	G09	12	3403	3444	42
1CM42_11_R_#207	B0A	2	3445	3640	196
1CM42_11_R_#207	G11	14	3641	3682	42
1CM42_11_R_#208	B0B	3	1	30	30
1CM42_11_R_#208	G02	5	31	80	50
1CM42_11_R_#208	B0B	3	81	406	326
1CM42_11_R_#208	G10	13	407	456	50
1CM42_11_R_#208	B0A	2	457	732	276
1CM42_11_R_#208	G03	6	733	789	57
1CM42_11_R_#208	B0B	3	790	1008	219
1CM42_11_R_#208	D0X	1	1009	1224	216
1CM42_11_R_#208	G04	7	1225	1280	56
1CM42_11_R_#208	B0A	2	1281	1495	215
1CM42_11_R_#208	D0X	1	1496	1742	247
1CM42_11_R_#208	G09	12	1743	1804	62
1CM42_11_R_#208	B0A	2	1805	2067	263
1CM42_11_R_#208	G06	9	2068	2123	56
1CM42_11_R_#208	B0A	2	2124	2348	225
1CM42_11_R_#208	G07	10	2349	2400	52
1CM42_11_R_#208	B0A	2	2401	2675	275
1CM42_11_R_#208	D0X	1	2676	2885	210
1CM42_11_R_#208	G11	14	2886	2943	58
1CM42_11_R_#208	B0B	3	2944	3158	215
1CM42_11_R_#208	G01	4	3159	3204	46
1CM42_11_R_#208	B0B	3	3205	3421	217
1CM42_11_R_#208	G08	11	3422	3469	48
1CM42_11_R_#208	B0B	3	3470	3638	169
1CM42_11_R_#208	G05	8	3639	3664	26
1CM42_12_R_#157	G01	4	1	143	143
1CM42_12_R_#157	B0B	3	144	338	195
1CM42_12_R_#157	G09	12	339	420	82
1CM42_12_R_#157	B0B	3	421	608	188
1CM42_12_R_#157	G06	9	609	660	52
1CM42_12_R_#157	B0B	3	661	883	223
1CM42_12_R_#157	G03	6	884	967	84
1CM42_12_R_#157	B0B	3	968	1154	187
1CM42_12_R_#157	D0X	1	1155	1612	458
1CM42_12_R_#157	G07	10	1613	1750	138
1CM42_12_R_#157	B0B	3	1751	2014	264
1CM42_12_R_#157	G08	11	2015	2198	184
1CM42_12_R_#157	B0A	2	2199	2372	174
1CM42_12_R_#157	D0X	1	2373	2685	313
1CM42_12_R_#157	G05	8	2686	2841	156
1CM42_12_R_#157	B0A	2	2842	3047	206
1CM42_12_R_#157	G04	7	3048	3145	98
1CM42_12_R_#157	B0A	2	3146	3327	182
1CM42_12_R_#157	D0X	1	3328	3535	208
1CM42_12_R_#157	G11	14	3536	3635	100
1CM42_12_R_#157	B0A	2	3636	3813	178
1CM42_12_R_#157	G10	13	3814	3897	84
1CM42_12_R_#157	B0A	2	3898	4121	224
1CM42_12_R_#157	G02	5	4122	4240	119
1CM42_12_R_#157	D0X	1	4241	4287	47
1CM42_12_R_#158	D0X	1	1	37	37
1CM42_12_R_#158	G08	11	38	160	123
1CM42_12_R_#158	B0B	3	161	382	222
1CM42_12_R_#158	G11	14	383	512	130
1CM42_12_R_#158	B0B	3	513	724	212
1CM42_12_R_#158	G04	7	725	828	104
1CM42_12_R_#158	B0A	2	829	1047	219
1CM42_12_R_#158	G03	6	1048	1171	124
1CM42_12_R_#158	B0B	3	1172	1387	216
1CM42_12_R_#158	G07	10	1388	1527	140
1CM42_12_R_#158	B0A	2	1528	1743	216
1CM42_12_R_#158	D0X	1	1744	2038	295
1CM42_12_R_#158	G01	4	2039	2181	143
1CM42_12_R_#158	B0B	3	2182	2399	218
1CM42_12_R_#158	D0X	1	2400	2725	326
1CM42_12_R_#158	G02	5	2726	2829	104
1CM42_12_R_#158	B0A	2	2830	3044	215
1CM42_12_R_#158	D0X	1	3045	3301	257
1CM42_12_R_#158	G10	13	3302	3405	104
1CM42_12_R_#158	B0A	2	3406	3632	227
1CM42_12_R_#158	G05	8	3633	3759	127
1CM42_12_R_#158	B0A	2	3760	3990	231
1CM42_12_R_#158	G06	9	3991	4107	117
1CM42_12_R_#158	B0B	3	4108	4337	230
1CM42_12_R_#158	G09	12	4338	4394	57
1CM42_12_R_#158	B0B	3	4395	4476	82
1CM42_12_R_#159	D0X	1	1	31	31
1CM42_12_R_#159	G11	14	32	146	115
1CM42_12_R_#159	B0A	2	147	351	205
1CM42_12_R_#159	G05	8	352	469	118
1CM42_12_R_#159	B0A	2	470	682	213
1CM42_12_R_#159	G02	5	683	827	145
1CM42_12_R_#159	B0B	3	828	1053	226
1CM42_12_R_#159	G07	10	1054	1192	139
1CM42_12_R_#159	B0A	2	1193	1420	228
1CM42_12_R_#159	G08	11	1421	1563	143
1CM42_12_R_#159	B0B	3	1564	1792	229
1CM42_12_R_#159	D0X	1	1793	2004	212
1CM42_12_R_#159	G06	9	2005	2178	174
1CM42_12_R_#159	B0A	2	2179	2382	204
1CM42_12_R_#159	D0X	1	2383	2605	223
1CM42_12_R_#159	G04	7	2606	2689	84
1CM42_12_R_#159	B0B	3	2690	2955	266
1CM42_12_R_#159	G09	12	2956	3106	151
1CM42_12_R_#159	B0B	3	3107	3308	202
1CM42_12_R_#159	G10	13	3309	3447	139
1CM42_12_R_#159	B0A	2	3448	3651	204
1CM42_12_R_#159	D0X	1	3652	3922	271
1CM42_12_R_#159	G01	4	3923	4082	160
1CM42_12_R_#159	B0B	3	4083	4274	192
1CM42_12_R_#159	G03	6	4275	4306	32
1CM42_12_R_#159	D0X	1	4307	4383	77
1CM42_12_R_#160	D0X	1	1	29	29
1CM42_12_R_#160	G04	7	30	143	114
1CM42_12_R_#160	B0B	3	144	349	206
1CM42_12_R_#160	G05	8	350	466	117
1CM42_12_R_#160	B0B	3	467	663	197
1CM42_12_R_#160	G09	12	664	791	128
1CM42_12_R_#160	B0B	3	792	967	176
1CM42_12_R_#160	G10	13	968	1105	138
1CM42_12_R_#160	B0A	2	1106	1329	224
1CM42_12_R_#160	G02	5	1330	1459	130
1CM42_12_R_#160	B0A	2	1460	1659	200
1CM42_12_R_#160	D0X	1	1660	1972	313
1CM42_12_R_#160	G11	14	1973	2111	139
1CM42_12_R_#160	B0A	2	2112	2318	207
1CM42_12_R_#160	D0X	1	2319	2602	284
1CM42_12_R_#160	G07	10	2603	2732	130
1CM42_12_R_#160	B0B	3	2733	2919	187
1CM42_12_R_#160	G03	6	2920	3031	112
1CM42_12_R_#160	B0B	3	3032	3232	201
1CM42_12_R_#160	D0X	1	3233	3598	366
1CM42_12_R_#160	G01	4	3599	3634	36
1CM42_12_R_#160	B0A	2	3635	3946	312
1CM42_12_R_#160	G06	9	3947	4115	169
1CM42_12_R_#160	B0A	2	4116	4315	200
1CM42_12_R_#160	G08	11	4316	4368	53
1CM42_12_R_#160	B0A	2	4369	4434	66
1CM42_13_R_#141	D0X	1	1	42	42
1CM42_13_R_#141	G01	4	43	98	56
1CM42_13_R_#141	B0B	3	99	267	169
1CM42_13_R_#141	G03	6	268	329	62
1CM42_13_R_#141	B0A	2	330	568	239
1CM42_13_R_#141	G04	7	569	613	45
1CM42_13_R_#141	B0B	3	614	841	228
1CM42_13_R_#141	G10	13	842	878	37
1CM42_13_R_#141	B0A	2	879	1111	233
1CM42_13_R_#141	G07	10	1112	1155	44
1CM42_13_R_#141	B0B	3	1156	1375	220
1CM42_13_R_#141	D0X	1	1376	1763	388
1CM42_13_R_#141	G08	11	1764	1818	55
1CM42_13_R_#141	B0A	2	1819	2074	256
1CM42_13_R_#141	D0X	1	2075	2336	262
1CM42_13_R_#141	G11	14	2337	2389	53
1CM42_13_R_#141	B0B	3	2390	2637	248
1CM42_13_R_#141	G06	9	2638	2683	46
1CM42_13_R_#141	B0B	3	2684	2955	272
1CM42_13_R_#141	G09	12	2956	3025	70
1CM42_13_R_#141	B0A	2	3026	3151	126
1CM42_13_R_#141	D0X	1	3152	3411	260
1CM42_13_R_#141	G02	5	3412	3453	42
1CM42_13_R_#141	B0A	2	3454	3574	121
1CM42_13_R_#141	G05	8	3575	3636	62
1CM42_13_R_#141	D0X	1	3637	3687	51
1CM42_13_R_#142	D0X	1	1	51	51
1CM42_13_R_#142	G10	13	52	102	51
1CM42_13_R_#142	B0B	3	103	290	188
1CM42_13_R_#142	G11	14	291	340	50
1CM42_13_R_#142	B0B	3	341	591	251
1CM42_13_R_#142	G08	11	592	651	60
1CM42_13_R_#142	B0A	2	652	900	249
1CM42_13_R_#142	G06	9	901	937	37
1CM42_13_R_#142	B0A	2	938	1207	270
1CM42_13_R_#142	G05	8	1208	1235	28
1CM42_13_R_#142	B0A	2	1236	1533	298
1CM42_13_R_#142	G09	12	1534	1623	90
1CM42_13_R_#142	B0B	3	1624	1779	156
1CM42_13_R_#142	D0X	1	1780	1981	202
1CM42_13_R_#142	G07	10	1982	2042	61
1CM42_13_R_#142	B0B	3	2043	2254	212
1CM42_13_R_#142	D0X	1	2255	2493	239
1CM42_13_R_#142	G03	6	2494	2551	58
1CM42_13_R_#142	B0B	3	2552	2756	205
1CM42_13_R_#142	D0X	1	2757	3039	283
1CM42_13_R_#142	G04	7	3040	3101	62
1CM42_13_R_#142	B0A	2	3102	3408	307
1CM42_13_R_#142	G01	4	3409	3449	41
1CM42_13_R_#142	B0A	2	3450	3623	174
1CM42_13_R_#142	G02	5	3624	3659	36
1CM42_13_R_#142	D0X	1	3660	3747	88
1CM42_13_R_#143	D0X	1	1	9	9
1CM42_13_R_#143	G08	11	10	68	59
1CM42_13_R_#143	B0A	2	69	332	264
1CM42_13_R_#143	G01	4	333	362	30
1CM42_13_R_#143	B0A	2	363	635	273
1CM42_13_R_#143	G09	12	636	693	58
1CM42_13_R_#143	B0B	3	694	944	251
1CM42_13_R_#143	G02	5	945	980	36
1CM42_13_R_#143	B0A	2	981	1184	204
1CM42_13_R_#143	D0X	1	1185	1443	259
1CM42_13_R_#143	G04	7	1444	1501	58
1CM42_13_R_#143	B0A	2	1502	1793	292
1CM42_13_R_#143	G10	13	1794	1821	28
1CM42_13_R_#143	B0B	3	1822	2075	254
1CM42_13_R_#143	G03	6	2076	2130	55
1CM42_13_R_#143	B0A	2	2131	2350	220
1CM42_13_R_#143	D0X	1	2351	2599	249
1CM42_13_R_#143	G05	8	2600	2698	99
1CM42_13_R_#143	B0B	3	2699	2927	229
1CM42_13_R_#143	G07	10	2928	2968	41
1CM42_13_R_#143	B0B	3	2969	3066	98
1CM42_13_R_#143	D0X	1	3067	3316	250
1CM42_13_R_#143	G06	9	3317	3351	35
1CM42_13_R_#143	B0B	3	3352	3701	350
1CM42_13_R_#143	G11	14	3702	3731	30
1CM42_13_R_#143	D0X	1	3732	3786	55
1CM42_13_R_#144	D0X	1	1	32	32
1CM42_13_R_#144	G07	10	33	86	54
1CM42_13_R_#144	B0B	3	87	349	263
1CM42_13_R_#144	G01	4	350	390	41
1CM42_13_R_#144	B0A	2	391	695	305
1CM42_13_R_#144	G05	8	696	750	55
1CM42_13_R_#144	B0A	2	751	1000	250
1CM42_13_R_#144	G06	9	1001	1047	47
1CM42_13_R_#144	B0B	3	1048	1318	271
1CM42_13_R_#144	G02	5	1319	1361	43
1CM42_13_R_#144	B0A	2	1362	1635	274
1CM42_13_R_#144	D0X	1	1636	1920	285
1CM42_13_R_#144	G10	13	1921	1963	43
1CM42_13_R_#144	B0B	3	1964	2164	201
1CM42_13_R_#144	D0X	1	2165	2390	226
1CM42_13_R_#144	G09	12	2391	2451	61
1CM42_13_R_#144	B0A	2	2452	2749	298
1CM42_13_R_#144	G03	6	2750	2793	44
1CM42_13_R_#144	B0B	3	2794	3028	235
1CM42_13_R_#144	D0X	1	3029	3250	222
1CM42_13_R_#144	G04	7	3251	3321	71
1CM42_13_R_#144	B0A	2	3322	3498	177
1CM42_13_R_#144	G11	14	3499	3537	39
1CM42_13_R_#144	B0B	3	3538	3758	221
1CM42_13_R_#144	G08	11	3759	3813	55
1CM42_13_R_#144	D0X	1	3814	3859	46
1CM42_17_R_#189	D0X	1	1	37	37
1CM42_17_R_#189	G11	14	38	89	52
1CM42_17_R_#189	B0A	2	90	335	246
1CM42_17_R_#189	G08	11	336	391	56
1CM42_17_R_#189	B0B	3	392	609	218
1CM42_17_R_#189	G04	7	610	683	74
1CM42_17_R_#189	B0A	2	684	893	210
1CM42_17_R_#189	G05	8	894	972	79
1CM42_17_R_#189	B0A	2	973	1215	243
1CM42_17_R_#189	G10	13	1216	1277	62
1CM42_17_R_#189	B0B	3	1278	1512	235
1CM42_17_R_#189	G03	6	1513	1582	70
1CM42_17_R_#189	B0B	3	1583	1749	167
1CM42_17_R_#189	D0X	1	1750	1873	124
1CM42_17_R_#189	G06	9	1874	1935	62
1CM42_17_R_#189	B0A	2	1936	2166	231
1CM42_17_R_#189	G09	12	2167	2223	57
1CM42_17_R_#189	B0B	3	2224	2417	194
1CM42_17_R_#189	D0X	1	2418	2526	109
1CM42_17_R_#189	G02	5	2527	2629	103
1CM42_17_R_#189	B0A	2	2630	2871	242
1CM42_17_R_#189	D0X	1	2872	3016	145
1CM42_17_R_#189	G07	10	3017	3149	133
1CM42_17_R_#189	B0B	3	3150	3483	334
1CM42_17_R_#189	G01	4	3484	3557	74
1CM42_17_R_#189	D0X	1	3558	3616	59
1CM42_17_R_#190	D0X	1	1	53	53
1CM42_17_R_#190	G11	14	54	122	69
1CM42_17_R_#190	B0A	2	123	333	211
1CM42_17_R_#190	G09	12	334	402	69
1CM42_17_R_#190	B0A	2	403	573	171
1CM42_17_R_#190	G03	6	574	637	64
1CM42_17_R_#190	B0B	3	638	825	188
1CM42_17_R_#190	G01	4	826	868	43
1CM42_17_R_#190	B0B	3	869	1145	277
1CM42_17_R_#190	G07	10	1146	1237	92
1CM42_17_R_#190	B0B	3	1238	1423	186
1CM42_17_R_#190	D0X	1	1424	1651	228
1CM42_17_R_#190	G10	13	1652	1707	56
1CM42_17_R_#190	B0A	2	1708	1914	207
1CM42_17_R_#190	D0X	1	1915	2102	188
1CM42_17_R_#190	G02	5	2103	2160	58
1CM42_17_R_#190	B0A	2	2161	2355	195
1CM42_17_R_#190	D0X	1	2356	2506	151
1CM42_17_R_#190	G05	8	2507	2569	63
1CM42_17_R_#190	B0A	2	2570	2776	207
1CM42_17_R_#190	G04	7	2777	2846	70
1CM42_17_R_#190	B0B	3	2847	3053	207
1CM42_17_R_#190	G08	11	3054	3138	85
1CM42_17_R_#190	B0B	3	3139	3388	250
1CM42_17_R_#190	G06	9	3389	3449	61
1CM42_17_R_#190	D0X	1	3450	3601	152
1CM42_17_R_#191	D0X	1	1	73	73
1CM42_17_R_#191	G09	12	74	103	30
1CM42_17_R_#191	B0A	2	104	269	166
1CM42_17_R_#191	G06	9	270	314	45
1CM42_17_R_#191	B0A	2	315	521	207
1CM42_17_R_#191	G03	6	522	596	75
1CM42_17_R_#191	B0B	3	597	785	189
1CM42_17_R_#191	G07	10	786	822	37
1CM42_17_R_#191	B0A	2	823	1025	203
1CM42_17_R_#191	D0X	1	1026	1285	260
1CM42_17_R_#191	G08	11	1286	1337	52
1CM42_17_R_#191	B0B	3	1338	1516	179
1CM42_17_R_#191	D0X	1	1517	1798	282
1CM42_17_R_#191	G01	4	1799	1833	35
1CM42_17_R_#191	B0B	3	1834	2025	192
1CM42_17_R_#191	G11	14	2026	2094	69
1CM42_17_R_#191	B0B	3	2095	2272	178
1CM42_17_R_#191	D0X	1	2273	2393	121
1CM42_17_R_#191	G05	8	2394	2436	43
1CM42_17_R_#191	B0B	3	2437	2591	155
1CM42_17_R_#191	G10	13	2592	2622	31
1CM42_17_R_#191	B0A	2	2623	2867	245
1CM42_17_R_#191	G04	7	2868	2972	105
1CM42_17_R_#191	B0A	2	2973	3235	263
1CM42_17_R_#191	G02	5	3236	3299	64
1CM42_17_R_#191	D0X	1	3300	3608	309
1CM42_17_R_#192	D0X	1	1	29	29
1CM42_17_R_#192	G07	10	30	102	73
1CM42_17_R_#192	B0A	2	103	333	231
1CM42_17_R_#192	G09	12	334	431	98
1CM42_17_R_#192	B0A	2	432	620	189
1CM42_17_R_#192	G06	9	621	733	113
1CM42_17_R_#192	B0B	3	734	965	232
1CM42_17_R_#192	G05	8	966	1083	118
1CM42_17_R_#192	B0A	2	1084	1256	173
1CM42_17_R_#192	D0X	1	1257	1516	260
1CM42_17_R_#192	G02	5	1517	1577	61
1CM42_17_R_#192	B0A	2	1578	1792	215
1CM42_17_R_#192	G11	14	1793	1883	91
1CM42_17_R_#192	B0B	3	1884	2076	193
1CM42_17_R_#192	D0X	1	2077	2191	115
1CM42_17_R_#192	G10	13	2192	2275	84
1CM42_17_R_#192	B0B	3	2276	2486	211
1CM42_17_R_#192	G04	7	2487	2607	121
1CM42_17_R_#192	B0A	2	2608	2747	140
1CM42_17_R_#192	D0X	1	2748	2945	198
1CM42_17_R_#192	G03	6	2946	3063	118
1CM42_17_R_#192	B0B	3	3064	3236	173
1CM42_17_R_#192	G01	4	3237	3275	39
1CM42_17_R_#192	B0B	3	3276	3432	157
1CM42_17_R_#192	G08	11	3433	3479	47
1CM42_17_R_#192	D0X	1	3480	3613	134
1CM42_18_R_#177	D0X	1	1	52	52
1CM42_18_R_#177	G02	5	53	85	33
1CM42_18_R_#177	B0B	3	86	311	226
1CM42_18_R_#177	G08	11	312	351	40
1CM42_18_R_#177	B0B	3	352	615	264
1CM42_18_R_#177	G09	12	616	652	37
1CM42_18_R_#177	B0A	2	653	941	289
1CM42_18_R_#177	G11	14	942	997	56
1CM42_18_R_#177	B0B	3	998	1238	241
1CM42_18_R_#177	G04	7	1239	1285	47
1CM42_18_R_#177	B0A	2	1286	1552	267
1CM42_18_R_#177	D0X	1	1553	1764	212
1CM42_18_R_#177	G03	6	1765	1803	39
1CM42_18_R_#177	B0A	2	1804	2035	232
1CM42_18_R_#177	D0X	1	2036	2249	214
1CM42_18_R_#177	G10	13	2250	2309	60
1CM42_18_R_#177	B0B	3	2310	2552	243
1CM42_18_R_#177	G07	10	2553	2625	73
1CM42_18_R_#177	B0A	2	2626	2881	256
1CM42_18_R_#177	G01	4	2882	2894	13
1CM42_18_R_#177	B0A	2	2895	3070	176
1CM42_18_R_#177	D0X	1	3071	3293	223
1CM42_18_R_#177	G06	9	3294	3370	77
1CM42_18_R_#177	B0B	3	3371	3616	246
1CM42_18_R_#177	G05	8	3617	3675	59
1CM42_18_R_#178	D0X	1	1	29	29
1CM42_18_R_#178	G05	8	30	89	60
1CM42_18_R_#178	B0A	2	90	315	226
1CM42_18_R_#178	G04	7	316	367	52
1CM42_18_R_#178	B0B	3	368	646	279
1CM42_18_R_#178	G10	13	647	728	82
1CM42_18_R_#178	B0B	3	729	1004	276
1CM42_18_R_#178	G08	11	1005	1060	56
1CM42_18_R_#178	B0A	2	1061	1268	208
1CM42_18_R_#178	G01	4	1269	1292	24
1CM42_18_R_#178	B0A	2	1293	1495	203
1CM42_18_R_#178	D0X	1	1496	1757	262
1CM42_18_R_#178	G07	10	1758	1815	58
1CM42_18_R_#178	B0A	2	1816	2099	284
1CM42_18_R_#178	D0X	1	2100	2341	242
1CM42_18_R_#178	G09	12	2342	2380	39
1CM42_18_R_#178	B0A	2	2381	2602	222
1CM42_18_R_#178	D0X	1	2603	2820	218
